input	lexicon	candidate	obs.prob	tab.prob	ABN	AFL	AFNL	AFLL
oi1_nak	oi_nak	oi_nak	.7	16	0	1	0	0
oi1_nak	oi_nak	oi_nek	.3	16	1	0	0	0
oE1_nak	oE_nak	oE_nak	.5	314	0	1	1	0
oE1_nak	oE_nak	oE_nek	.5	314	1	0	0	0
oe1_nak	oe_nak	oe_nak	.3	82	0	1	1	1
oe1_nak	oe_nak	oe_nek	.7	82	1	0	0	0
oi2_nak	oi_nak	oi_nak	.7	214	0	1	0	0
oi2_nak	oi_nak	oi_nek	.3	214	1	0	0	0
oE2_nak	oE_nak	oE_nak	.5	6	0	1	1	0
oE2_nak	oE_nak	oE_nek	.5	6	1	0	0	0
oe2_nak	oe_nak	oe_nak	.3	5	0	1	1	1
oe2_nak	oe_nak	oe_nek	.7	5	1	0	0	0
oi3_nak	oi_nak	oi_nak	.7	33	0	1	0	0
oi3_nak	oi_nak	oi_nek	.3	33	1	0	0	0
oE3_nak	oE_nak	oE_nak	.5	2	0	1	1	0
oE3_nak	oE_nak	oE_nek	.5	2	1	0	0	0
oe3_nak	oe_nak	oe_nak	.3	6	0	1	1	1
oe3_nak	oe_nak	oe_nek	.7	6	1	0	0	0
oi4_nak	oi_nak	oi_nak	.7	209	0	1	0	0
oi4_nak	oi_nak	oi_nek	.3	209	1	0	0	0
oE4_nak	oE_nak	oE_nak	.5	2	0	1	1	0
oE4_nak	oE_nak	oE_nek	.5	2	1	0	0	0
oe4_nak	oe_nak	oe_nak	.3	23	0	1	1	1
oe4_nak	oe_nak	oe_nek	.7	23	1	0	0	0
oi5_nak	oi_nak	oi_nak	.7	351	0	1	0	0
oi5_nak	oi_nak	oi_nek	.3	351	1	0	0	0
oE5_nak	oE_nak	oE_nak	.5	6	0	1	1	0
oE5_nak	oE_nak	oE_nek	.5	6	1	0	0	0
oe5_nak	oe_nak	oe_nak	.3	103	0	1	1	1
oe5_nak	oe_nak	oe_nek	.7	103	1	0	0	0
oi6_nak	oi_nak	oi_nak	.7	364	0	1	0	0
oi6_nak	oi_nak	oi_nek	.3	364	1	0	0	0
oE6_nak	oE_nak	oE_nak	.5	11	0	1	1	0
oE6_nak	oE_nak	oE_nek	.5	11	1	0	0	0
oe6_nak	oe_nak	oe_nak	.3	36	0	1	1	1
oe6_nak	oe_nak	oe_nek	.7	36	1	0	0	0
oi7_nak	oi_nak	oi_nak	.7	165	0	1	0	0
oi7_nak	oi_nak	oi_nek	.3	165	1	0	0	0
oE7_nak	oE_nak	oE_nak	.5	65	0	1	1	0
oE7_nak	oE_nak	oE_nek	.5	65	1	0	0	0
oe7_nak	oe_nak	oe_nak	.3	12	0	1	1	1
oe7_nak	oe_nak	oe_nek	.7	12	1	0	0	0
oi8_nak	oi_nak	oi_nak	.7	18	0	1	0	0
oi8_nak	oi_nak	oi_nek	.3	18	1	0	0	0
oE8_nak	oE_nak	oE_nak	.5	8	0	1	1	0
oE8_nak	oE_nak	oE_nek	.5	8	1	0	0	0
oe8_nak	oe_nak	oe_nak	.3	10	0	1	1	1
oe8_nak	oe_nak	oe_nek	.7	10	1	0	0	0
oi9_nak	oi_nak	oi_nak	.7	6	0	1	0	0
oi9_nak	oi_nak	oi_nek	.3	6	1	0	0	0
oE9_nak	oE_nak	oE_nak	.5	48	0	1	1	0
oE9_nak	oE_nak	oE_nek	.5	48	1	0	0	0
oe9_nak	oe_nak	oe_nak	.3	59	0	1	1	1
oe9_nak	oe_nak	oe_nek	.7	59	1	0	0	0
oi10_nak	oi_nak	oi_nak	.7	80	0	1	0	0
oi10_nak	oi_nak	oi_nek	.3	80	1	0	0	0
oE10_nak	oE_nak	oE_nak	.5	31	0	1	1	0
oE10_nak	oE_nak	oE_nek	.5	31	1	0	0	0
oe10_nak	oe_nak	oe_nak	.3	210	0	1	1	1
oe10_nak	oe_nak	oe_nek	.7	210	1	0	0	0
oi11_nak	oi_nak	oi_nak	.7	10	0	1	0	0
oi11_nak	oi_nak	oi_nek	.3	10	1	0	0	0
oE11_nak	oE_nak	oE_nak	.5	286	0	1	1	0
oE11_nak	oE_nak	oE_nek	.5	286	1	0	0	0
oe11_nak	oe_nak	oe_nak	.3	1	0	1	1	1
oe11_nak	oe_nak	oe_nek	.7	1	1	0	0	0
oi12_nak	oi_nak	oi_nak	.7	20	0	1	0	0
oi12_nak	oi_nak	oi_nek	.3	20	1	0	0	0
oE12_nak	oE_nak	oE_nak	.5	7	0	1	1	0
oE12_nak	oE_nak	oE_nek	.5	7	1	0	0	0
oe12_nak	oe_nak	oe_nak	.3	22	0	1	1	1
oe12_nak	oe_nak	oe_nek	.7	22	1	0	0	0
oi13_nak	oi_nak	oi_nak	.7	343	0	1	0	0
oi13_nak	oi_nak	oi_nek	.3	343	1	0	0	0
oE13_nak	oE_nak	oE_nak	.5	344	0	1	1	0
oE13_nak	oE_nak	oE_nek	.5	344	1	0	0	0
oe13_nak	oe_nak	oe_nak	.3	115	0	1	1	1
oe13_nak	oe_nak	oe_nek	.7	115	1	0	0	0
oi14_nak	oi_nak	oi_nak	.7	22	0	1	0	0
oi14_nak	oi_nak	oi_nek	.3	22	1	0	0	0
oE14_nak	oE_nak	oE_nak	.5	234	0	1	1	0
oE14_nak	oE_nak	oE_nek	.5	234	1	0	0	0
oe14_nak	oe_nak	oe_nak	.3	58	0	1	1	1
oe14_nak	oe_nak	oe_nek	.7	58	1	0	0	0
oi15_nak	oi_nak	oi_nak	.7	57	0	1	0	0
oi15_nak	oi_nak	oi_nek	.3	57	1	0	0	0
oE15_nak	oE_nak	oE_nak	.5	253	0	1	1	0
oE15_nak	oE_nak	oE_nek	.5	253	1	0	0	0
oe15_nak	oe_nak	oe_nak	.3	10	0	1	1	1
oe15_nak	oe_nak	oe_nek	.7	10	1	0	0	0
oi16_nak	oi_nak	oi_nak	.7	81	0	1	0	0
oi16_nak	oi_nak	oi_nek	.3	81	1	0	0	0
oE16_nak	oE_nak	oE_nak	.5	220	0	1	1	0
oE16_nak	oE_nak	oE_nek	.5	220	1	0	0	0
oe16_nak	oe_nak	oe_nak	.3	83	0	1	1	1
oe16_nak	oe_nak	oe_nek	.7	83	1	0	0	0
oi17_nak	oi_nak	oi_nak	.7	3	0	1	0	0
oi17_nak	oi_nak	oi_nek	.3	3	1	0	0	0
oE17_nak	oE_nak	oE_nak	.5	3	0	1	1	0
oE17_nak	oE_nak	oE_nek	.5	3	1	0	0	0
oe17_nak	oe_nak	oe_nak	.3	13	0	1	1	1
oe17_nak	oe_nak	oe_nek	.7	13	1	0	0	0
oi18_nak	oi_nak	oi_nak	.7	295	0	1	0	0
oi18_nak	oi_nak	oi_nek	.3	295	1	0	0	0
oE18_nak	oE_nak	oE_nak	.5	7	0	1	1	0
oE18_nak	oE_nak	oE_nek	.5	7	1	0	0	0
oe18_nak	oe_nak	oe_nak	.3	24	0	1	1	1
oe18_nak	oe_nak	oe_nek	.7	24	1	0	0	0
oi19_nak	oi_nak	oi_nak	.7	1	0	1	0	0
oi19_nak	oi_nak	oi_nek	.3	1	1	0	0	0
oE19_nak	oE_nak	oE_nak	.5	2	0	1	1	0
oE19_nak	oE_nak	oE_nek	.5	2	1	0	0	0
oe19_nak	oe_nak	oe_nak	.3	12	0	1	1	1
oe19_nak	oe_nak	oe_nek	.7	12	1	0	0	0
oi20_nak	oi_nak	oi_nak	.7	8	0	1	0	0
oi20_nak	oi_nak	oi_nek	.3	8	1	0	0	0
oE20_nak	oE_nak	oE_nak	.5	16	0	1	1	0
oE20_nak	oE_nak	oE_nek	.5	16	1	0	0	0
oe20_nak	oe_nak	oe_nak	.3	278	0	1	1	1
oe20_nak	oe_nak	oe_nek	.7	278	1	0	0	0
oi21_nak	oi_nak	oi_nak	.7	5	0	1	0	0
oi21_nak	oi_nak	oi_nek	.3	5	1	0	0	0
oE21_nak	oE_nak	oE_nak	.5	3	0	1	1	0
oE21_nak	oE_nak	oE_nek	.5	3	1	0	0	0
oe21_nak	oe_nak	oe_nak	.3	136	0	1	1	1
oe21_nak	oe_nak	oe_nek	.7	136	1	0	0	0
oi22_nak	oi_nak	oi_nak	.7	18	0	1	0	0
oi22_nak	oi_nak	oi_nek	.3	18	1	0	0	0
oE22_nak	oE_nak	oE_nak	.5	9	0	1	1	0
oE22_nak	oE_nak	oE_nek	.5	9	1	0	0	0
oe22_nak	oe_nak	oe_nak	.3	2	0	1	1	1
oe22_nak	oe_nak	oe_nek	.7	2	1	0	0	0
oi23_nak	oi_nak	oi_nak	.7	148	0	1	0	0
oi23_nak	oi_nak	oi_nek	.3	148	1	0	0	0
oE23_nak	oE_nak	oE_nak	.5	8	0	1	1	0
oE23_nak	oE_nak	oE_nek	.5	8	1	0	0	0
oe23_nak	oe_nak	oe_nak	.3	288	0	1	1	1
oe23_nak	oe_nak	oe_nek	.7	288	1	0	0	0
oi24_nak	oi_nak	oi_nak	.7	141	0	1	0	0
oi24_nak	oi_nak	oi_nek	.3	141	1	0	0	0
oE24_nak	oE_nak	oE_nak	.5	35	0	1	1	0
oE24_nak	oE_nak	oE_nek	.5	35	1	0	0	0
oe24_nak	oe_nak	oe_nak	.3	87	0	1	1	1
oe24_nak	oe_nak	oe_nek	.7	87	1	0	0	0
oi25_nak	oi_nak	oi_nak	.7	208	0	1	0	0
oi25_nak	oi_nak	oi_nek	.3	208	1	0	0	0
oE25_nak	oE_nak	oE_nak	.5	48	0	1	1	0
oE25_nak	oE_nak	oE_nek	.5	48	1	0	0	0
oe25_nak	oe_nak	oe_nak	.3	250	0	1	1	1
oe25_nak	oe_nak	oe_nek	.7	250	1	0	0	0
oi26_nak	oi_nak	oi_nak	.7	3	0	1	0	0
oi26_nak	oi_nak	oi_nek	.3	3	1	0	0	0
oE26_nak	oE_nak	oE_nak	.5	84	0	1	1	0
oE26_nak	oE_nak	oE_nek	.5	84	1	0	0	0
oe26_nak	oe_nak	oe_nak	.3	222	0	1	1	1
oe26_nak	oe_nak	oe_nek	.7	222	1	0	0	0
oi27_nak	oi_nak	oi_nak	.7	3	0	1	0	0
oi27_nak	oi_nak	oi_nek	.3	3	1	0	0	0
oE27_nak	oE_nak	oE_nak	.5	143	0	1	1	0
oE27_nak	oE_nak	oE_nek	.5	143	1	0	0	0
oe27_nak	oe_nak	oe_nak	.3	189	0	1	1	1
oe27_nak	oe_nak	oe_nek	.7	189	1	0	0	0
oi28_nak	oi_nak	oi_nak	.7	23	0	1	0	0
oi28_nak	oi_nak	oi_nek	.3	23	1	0	0	0
oE28_nak	oE_nak	oE_nak	.5	101	0	1	1	0
oE28_nak	oE_nak	oE_nek	.5	101	1	0	0	0
oe28_nak	oe_nak	oe_nak	.3	36	0	1	1	1
oe28_nak	oe_nak	oe_nek	.7	36	1	0	0	0
oi29_nak	oi_nak	oi_nak	.7	266	0	1	0	0
oi29_nak	oi_nak	oi_nek	.3	266	1	0	0	0
oE29_nak	oE_nak	oE_nak	.5	336	0	1	1	0
oE29_nak	oE_nak	oE_nek	.5	336	1	0	0	0
oe29_nak	oe_nak	oe_nak	.3	7	0	1	1	1
oe29_nak	oe_nak	oe_nek	.7	7	1	0	0	0
oi30_nak	oi_nak	oi_nak	.7	72	0	1	0	0
oi30_nak	oi_nak	oi_nek	.3	72	1	0	0	0
oE30_nak	oE_nak	oE_nak	.5	1	0	1	1	0
oE30_nak	oE_nak	oE_nek	.5	1	1	0	0	0
oe30_nak	oe_nak	oe_nak	.3	37	0	1	1	1
oe30_nak	oe_nak	oe_nek	.7	37	1	0	0	0
oi31_nak	oi_nak	oi_nak	.7	15	0	1	0	0
oi31_nak	oi_nak	oi_nek	.3	15	1	0	0	0
oE31_nak	oE_nak	oE_nak	.5	347	0	1	1	0
oE31_nak	oE_nak	oE_nek	.5	347	1	0	0	0
oe31_nak	oe_nak	oe_nak	.3	163	0	1	1	1
oe31_nak	oe_nak	oe_nek	.7	163	1	0	0	0
oi32_nak	oi_nak	oi_nak	.7	43	0	1	0	0
oi32_nak	oi_nak	oi_nek	.3	43	1	0	0	0
oE32_nak	oE_nak	oE_nak	.5	1	0	1	1	0
oE32_nak	oE_nak	oE_nek	.5	1	1	0	0	0
oe32_nak	oe_nak	oe_nak	.3	1	0	1	1	1
oe32_nak	oe_nak	oe_nek	.7	1	1	0	0	0
oi33_nak	oi_nak	oi_nak	.7	357	0	1	0	0
oi33_nak	oi_nak	oi_nek	.3	357	1	0	0	0
oE33_nak	oE_nak	oE_nak	.5	2	0	1	1	0
oE33_nak	oE_nak	oE_nek	.5	2	1	0	0	0
oe33_nak	oe_nak	oe_nak	.3	10	0	1	1	1
oe33_nak	oe_nak	oe_nek	.7	10	1	0	0	0
oi34_nak	oi_nak	oi_nak	.7	82	0	1	0	0
oi34_nak	oi_nak	oi_nek	.3	82	1	0	0	0
oE34_nak	oE_nak	oE_nak	.5	4	0	1	1	0
oE34_nak	oE_nak	oE_nek	.5	4	1	0	0	0
oe34_nak	oe_nak	oe_nak	.3	11	0	1	1	1
oe34_nak	oe_nak	oe_nek	.7	11	1	0	0	0
oi35_nak	oi_nak	oi_nak	.7	8	0	1	0	0
oi35_nak	oi_nak	oi_nek	.3	8	1	0	0	0
oE35_nak	oE_nak	oE_nak	.5	154	0	1	1	0
oE35_nak	oE_nak	oE_nek	.5	154	1	0	0	0
oe35_nak	oe_nak	oe_nak	.3	5	0	1	1	1
oe35_nak	oe_nak	oe_nek	.7	5	1	0	0	0
oi36_nak	oi_nak	oi_nak	.7	21	0	1	0	0
oi36_nak	oi_nak	oi_nek	.3	21	1	0	0	0
oE36_nak	oE_nak	oE_nak	.5	127	0	1	1	0
oE36_nak	oE_nak	oE_nek	.5	127	1	0	0	0
oe36_nak	oe_nak	oe_nak	.3	12	0	1	1	1
oe36_nak	oe_nak	oe_nek	.7	12	1	0	0	0
oi37_nak	oi_nak	oi_nak	.7	12	0	1	0	0
oi37_nak	oi_nak	oi_nek	.3	12	1	0	0	0
oE37_nak	oE_nak	oE_nak	.5	16	0	1	1	0
oE37_nak	oE_nak	oE_nek	.5	16	1	0	0	0
oe37_nak	oe_nak	oe_nak	.3	17	0	1	1	1
oe37_nak	oe_nak	oe_nek	.7	17	1	0	0	0
oi38_nak	oi_nak	oi_nak	.7	96	0	1	0	0
oi38_nak	oi_nak	oi_nek	.3	96	1	0	0	0
oE38_nak	oE_nak	oE_nak	.5	8	0	1	1	0
oE38_nak	oE_nak	oE_nek	.5	8	1	0	0	0
oe38_nak	oe_nak	oe_nak	.3	1	0	1	1	1
oe38_nak	oe_nak	oe_nek	.7	1	1	0	0	0
oi39_nak	oi_nak	oi_nak	.7	35	0	1	0	0
oi39_nak	oi_nak	oi_nek	.3	35	1	0	0	0
oE39_nak	oE_nak	oE_nak	.5	109	0	1	1	0
oE39_nak	oE_nak	oE_nek	.5	109	1	0	0	0
oe39_nak	oe_nak	oe_nak	.3	313	0	1	1	1
oe39_nak	oe_nak	oe_nek	.7	313	1	0	0	0
oi40_nak	oi_nak	oi_nak	.7	70	0	1	0	0
oi40_nak	oi_nak	oi_nek	.3	70	1	0	0	0
oE40_nak	oE_nak	oE_nak	.5	151	0	1	1	0
oE40_nak	oE_nak	oE_nek	.5	151	1	0	0	0
oe40_nak	oe_nak	oe_nak	.3	31	0	1	1	1
oe40_nak	oe_nak	oe_nek	.7	31	1	0	0	0
oi41_nak	oi_nak	oi_nak	.7	39	0	1	0	0
oi41_nak	oi_nak	oi_nek	.3	39	1	0	0	0
oE41_nak	oE_nak	oE_nak	.5	95	0	1	1	0
oE41_nak	oE_nak	oE_nek	.5	95	1	0	0	0
oe41_nak	oe_nak	oe_nak	.3	184	0	1	1	1
oe41_nak	oe_nak	oe_nek	.7	184	1	0	0	0
oi42_nak	oi_nak	oi_nak	.7	206	0	1	0	0
oi42_nak	oi_nak	oi_nek	.3	206	1	0	0	0
oE42_nak	oE_nak	oE_nak	.5	129	0	1	1	0
oE42_nak	oE_nak	oE_nek	.5	129	1	0	0	0
oe42_nak	oe_nak	oe_nak	.3	12	0	1	1	1
oe42_nak	oe_nak	oe_nek	.7	12	1	0	0	0
oi43_nak	oi_nak	oi_nak	.7	96	0	1	0	0
oi43_nak	oi_nak	oi_nek	.3	96	1	0	0	0
oE43_nak	oE_nak	oE_nak	.5	20	0	1	1	0
oE43_nak	oE_nak	oE_nek	.5	20	1	0	0	0
oe43_nak	oe_nak	oe_nak	.3	275	0	1	1	1
oe43_nak	oe_nak	oe_nek	.7	275	1	0	0	0
oi44_nak	oi_nak	oi_nak	.7	18	0	1	0	0
oi44_nak	oi_nak	oi_nek	.3	18	1	0	0	0
oE44_nak	oE_nak	oE_nak	.5	9	0	1	1	0
oE44_nak	oE_nak	oE_nek	.5	9	1	0	0	0
oe44_nak	oe_nak	oe_nak	.3	312	0	1	1	1
oe44_nak	oe_nak	oe_nek	.7	312	1	0	0	0
oi45_nak	oi_nak	oi_nak	.7	76	0	1	0	0
oi45_nak	oi_nak	oi_nek	.3	76	1	0	0	0
oE45_nak	oE_nak	oE_nak	.5	24	0	1	1	0
oE45_nak	oE_nak	oE_nek	.5	24	1	0	0	0
oe45_nak	oe_nak	oe_nak	.3	370	0	1	1	1
oe45_nak	oe_nak	oe_nek	.7	370	1	0	0	0
oi46_nak	oi_nak	oi_nak	.7	9	0	1	0	0
oi46_nak	oi_nak	oi_nek	.3	9	1	0	0	0
oE46_nak	oE_nak	oE_nak	.5	159	0	1	1	0
oE46_nak	oE_nak	oE_nek	.5	159	1	0	0	0
oe46_nak	oe_nak	oe_nak	.3	300	0	1	1	1
oe46_nak	oe_nak	oe_nek	.7	300	1	0	0	0
