input	lexeme	candidate	obs.prob	tab.prob	*p	*d	*j	*c	*g	*G	*voice	*finalVoi	*VTV	IdentV	IdentV_listed
ab1	ab	ab	0	1	0	0	0	0	0	0	1	1	0	0	1
ab1	ab	ap	1	1	1	0	0	0	0	0	0	0	0	1	0
ab1_a	ab_a	ab_a	1	1	0	0	0	0	0	0	1	0	0	0	0
ab1_a	ab_a	ap_a	0	1	1	0	0	0	0	0	0	0	1	1	1
ab2	ab	ab	0	1	0	0	0	0	0	0	1	1	0	0	1
ab2	ab	ap	1	1	1	0	0	0	0	0	0	0	0	1	0
ab2_a	ab_a	ab_a	1	1	0	0	0	0	0	0	1	0	0	0	0
ab2_a	ab_a	ap_a	0	1	1	0	0	0	0	0	0	0	1	1	1
ab3	ab	ab	0	1	0	0	0	0	0	0	1	1	0	0	1
ab3	ab	ap	1	1	1	0	0	0	0	0	0	0	0	1	0
ab3_a	ab_a	ab_a	1	1	0	0	0	0	0	0	1	0	0	0	0
ab3_a	ab_a	ap_a	0	1	1	0	0	0	0	0	0	0	1	1	1
ab4	ab	ab	0	1	0	0	0	0	0	0	1	1	0	0	1
ab4	ab	ap	1	1	1	0	0	0	0	0	0	0	0	1	0
ab4_a	ab_a	ab_a	1	1	0	0	0	0	0	0	1	0	0	0	0
ab4_a	ab_a	ap_a	0	1	1	0	0	0	0	0	0	0	1	1	1
ab5	ab	ab	0	1	0	0	0	0	0	0	1	1	0	0	1
ab5	ab	ap	1	1	1	0	0	0	0	0	0	0	0	1	0
ab5_a	ab_a	ab_a	1	1	0	0	0	0	0	0	1	0	0	0	0
ab5_a	ab_a	ap_a	0	1	1	0	0	0	0	0	0	0	1	1	1
ab6	ab	ab	0	1	0	0	0	0	0	0	1	1	0	0	1
ab6	ab	ap	1	1	1	0	0	0	0	0	0	0	0	1	0
ab6_a	ab_a	ab_a	1	1	0	0	0	0	0	0	1	0	0	0	0
ab6_a	ab_a	ap_a	0	1	1	0	0	0	0	0	0	0	1	1	1
ab7	ab	ab	0	1	0	0	0	0	0	0	1	1	0	0	1
ab7	ab	ap	1	1	1	0	0	0	0	0	0	0	0	1	0
ab7_a	ab_a	ab_a	1	1	0	0	0	0	0	0	1	0	0	0	0
ab7_a	ab_a	ap_a	0	1	1	0	0	0	0	0	0	0	1	1	1
ab8	ab	ab	0	1	0	0	0	0	0	0	1	1	0	0	1
ab8	ab	ap	1	1	1	0	0	0	0	0	0	0	0	1	0
ab8_a	ab_a	ab_a	1	1	0	0	0	0	0	0	1	0	0	0	0
ab8_a	ab_a	ap_a	0	1	1	0	0	0	0	0	0	0	1	1	1
ab9	ab	ab	0	1	0	0	0	0	0	0	1	1	0	0	1
ab9	ab	ap	1	1	1	0	0	0	0	0	0	0	0	1	0
ab9_a	ab_a	ab_a	1	1	0	0	0	0	0	0	1	0	0	0	0
ab9_a	ab_a	ap_a	0	1	1	0	0	0	0	0	0	0	1	1	1
ap10	ap	ab	0	1	0	0	0	0	0	0	1	1	0	1	1
ap10	ap	ap	1	1	1	0	0	0	0	0	0	0	0	0	0
ap10_a	ap_a	ab_a	0	1	0	0	0	0	0	0	1	0	0	1	1
ap10_a	ap_a	ap_a	1	1	1	0	0	0	0	0	0	0	1	0	0
ad1	ad	ad	0	1	0	1	0	0	0	0	1	1	0	0	1
ad1	ad	at	1	1	0	0	0	0	0	0	0	0	0	1	0
ad1_a	ad_a	ad_a	1	1	0	1	0	0	0	0	1	0	0	0	0
ad1_a	ad_a	at_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ad2	ad	ad	0	1	0	1	0	0	0	0	1	1	0	0	1
ad2	ad	at	1	1	0	0	0	0	0	0	0	0	0	1	0
ad2_a	ad_a	ad_a	1	1	0	1	0	0	0	0	1	0	0	0	0
ad2_a	ad_a	at_a	0	1	0	0	0	0	0	0	0	0	1	1	1
ad3	ad	ad	0	1	0	1	0	0	0	0	1	1	0	0	1
ad3	ad	at	1	1	0	0	0	0	0	0	0	0	0	1	0
ad3_a	ad_a	ad_a	1	1	0	1	0	0	0	0	1	0	0	0	0
ad3_a	ad_a	at_a	0	1	0	0	0	0	0	0	0	0	1	1	1
